times,C_5,C_10,C_20,C_30,C_40,C_50,chi
0.05,0.0,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,1.212228549285483731580580834069459786838734485159313028509329874340955888467229e-38,2
0.1,3.673419846319656619032886676975176131050966435597218131170171668328238634091592e-40,-0.0,-0.0,-0.0,-0.0,-0.0,3
0.15,1.18008612563018889563199045390763755387999531093654408471563752694170069929268e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,5.473395571016283517320433659788551352872563866053294907329094169601413854008904e-38,3
0.2,2.941605736310663825648454739471623995136456976244248749469547424301306751137905e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,2.938735877055722685104522142170330220723129445858752224470434107075971803818691e-39,4
0.25,-0.0,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,1.836709923159825862527267839040890549165192246593275677648489058301663907557125e-39,6
0.30000000000000004,0.0,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,1.836709923159822273609810439852400858503432155492120042008147120370062640307075e-39,6
0.35000000000000003,6.658073471454360227982384593450565225402141677535379696829960733755978655175708e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,8.862125379246155830728233599266802581606248853030599500823128251994558775289777e-39,6
0.4,3.512707728043168409885328579338332539124935662906128654698555083053885007150465e-39,0.0,0.0,0.0,0.0,0.0,6
0.45,0.0,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,5.188705532926501495551910721775210799158220657225025865060446907804611856720945e-39,6
0.5,0.0,0.0,0.0,0.0,0.0,0.0,6
